fund_long_name,initial_investment,fund_category,management_name
Columbia Select Global Equity Fund Advisor Class,10000000,Large Growth,Dave Dudding
Centerstone International Fund Class A,10000000,Large Blend,Abhay Deshpande
Calvert Equity Fund Class A,10000000,Long-Short Equity,Joseph B. Hudepohl
American Funds SMALLCAP World Fund Class 529-C,10000000,Small Blend,Jonathan L. Knowles
American Funds SMALLCAP World Fund Class 529-F,10000000,Small Growth,Jonathan L. Knowles
Columbia Small Cap Index Fund Institutional 3 Class,10000000,Small Growth,Christopher Lo
Columbia Small Cap Value Fund I Advisor Class,10000000,Tactical Allocation,Jeremy H. Javidi
Diamond Hill Global Fund Class I,10000000,,Grady Burkett
Diamond Hill International Fund Investor Share,10000000,Foreign Large Growth,Krishna Mohanraj
Delaware Tax-Free USA Fund Institutional Class,10000000,China Region,Stephen J. Czepiel
Eaton Vance Short Duration Government Income Fund Advisers Class,10000000,Foreign Large Growth,Andrew Szczurowski
Eaton Vance Floating - Rate Fund Class C,10000000,Diversified Emerging Mkts,Craig P. Russ
Catalyst Enhanced Income Strategy Fund Class I,10000000,Muni National Interm,Leland Abrams
ProFunds UltraSector Oil & Gas Fund Investor Class,10000000,Allocation--30% to 50% Equity,Michael Neches
Franklin LifeSmart 2050 Retirement Target Fund Class A,10000000,Derivative Income,Wylie Tollette
Cavanal Hill World Energy Fund Investor,10000000,Large Blend,Thomas W. Verdel
Absolute Convertible Arbitrage Fund Institutional Shares,10000000,Large Growth,Jay C. Compson
American Century Investments One Choice 2040 Portfolio Investor Class,10000000,Foreign Large Blend,Radu Gabudean
AB Global Real Estate Investment Fund Class C,10000000,Foreign Large Blend,Eric J. Franco
American Century Investments One Choice 2050 Portfolio R6 Class,10000000,China Region,Radu Gabudean
American Century Real Estate Fund C Class,10000000,Large Growth,Steven R. Rodriguez
Anchor Risk Managed Municipal Strategies Fund Advisor Class Shares,10000000,Large Growth,Eric Leake
Ave Maria Focused Fund,10000000,Diversified Emerging Mkts,Chadd M. Garcia
Virtus AllianzGI High Yield Bond Fund Administrative Class,10000000,Diversified Emerging Mkts,David J. Oberto
BlackRock Allocation Target Shares Series P Portfolio,10000000,Multisector Bond,Scott MacLellan
BBH Intermediate Municipal Bond Fund Class N,10000000,Small Growth,Gregory S. Steier
Braddock Multi-Strategy Income Fund Class A Shares,10000000,Multisector Bond,Garrett Tripp
BMO Aggressive Allocation Fund Class R6,10000000,Large Growth,Jon D. Adams
BlackRock Total Emerging Markets Fund Investor A,10000000,World Large-Stock Blend,Jeff Shen
BlackRock Emerging Markets Bond Fund Class K Shares,10000000,,Sergio Trigo Paz
American Funds Corporate Bond Fund Class A,10000000,,Scott Sykes
BlackRock Capital Appreciation Fund K Shares,10000000,World Allocation,Lawrence Kemp
American Funds Inflation Linked Bond Fund Class C,10000000,World Large-Stock Blend,David Hoag
Baron FinTech Fund R6 Shares,10000000,Global Real Estate,Josh Saltman
Berkshire Focus Fund,10000000,Large Growth,Malcolm R. Fobes
Baillie Gifford Global Alpha Equities Fund Class K,10000000,,Spencer Adair
Baillie Gifford EAFE Plus All Cap Fund Class 2,10000000,,Iain Campbell
Baron Opportunity Fund R6 Shares,10000000,Muni National Interm,Michael Lippert
UBS U.S. Small Cap Growth Fund Class P,10000000,Foreign Large Blend,David N. Wabnik
Baird Municipal Bond Fund Institutional,10000000,,Erik Schleicher
MFS Blended Research Mid Cap Equity Fund B,10000000,,Jonathan W. Sage
BlackRock International Dividend Fund Service Shares,10000000,Mid-Cap Growth,Andrew Wheatley-Hubbard
MFS Blended Research International Equity Fund Class R2,10000000,Diversified Emerging Mkts,Jonathan W. Sage
Columbia Strategic Municipal Income Fund Institutional 2 Class,10000000,Intermediate Core-Plus Bond,Catherine M. Stienstra
Columbia Adaptive Retirement 2055 Fund Advisor Class,10000000,Intermediate Core-Plus Bond,Joshua B. Kutin
Columbia Balanced Fund Class A,10000000,Emerging Markets Bond,Guy Pope
Wells Fargo C&B Large Cap Value Fund - Class Inst,10000000,Real Estate,Steve James Lyons
American Funds Intermediate Bond Fund of America Class 529-A,10000000,Diversified Emerging Mkts,Fergus N. MacDonald
Virtus Seix Total Return Bond Fund Class A,10000000,Infrastructure,Michael F. Rieger
Columbia Mid Cap Growth Fund Class V,10000000,High Yield Bond,Daniel H. Cole
Calvert Mid-Cap Fund Class A,10000000,World Allocation,Charles B. Gaffney
Conestoga Small Cap Fund Investors Class,10000000,Global Real Estate,Robert M. Mitchell
Columbia Contrarian Core Fund Class R,10000000,Foreign Large Growth,Guy W. Pope
Conestoga SMid Cap Fund Investors Class,10000000,Pacific/Asia ex-Japan Stk,Robert M. Mitchell
Crawford Large Cap Dividend Fund Class C,10000000,Short-Term Bond,Jon D. Christiansen
Columbia Large Cap Value Fund Institutional Class,10000000,Diversified Emerging Mkts,Hugh H. Mullin
Cullen Emerging Markets High Dividend Fund Class I,10000000,Infrastructure,Rahul D. Sharma
Coho Relative Value ESG Fund,10000000,Large Growth,Chris Leonard
American Funds EuroPacific Growth Fund Class 529-A,10000000,High Yield Bond,Noriko B. Chen
Commerce MidCap Growth Fund,10000000,Diversified Emerging Mkts,Joseph Williams
Commerce Bond Fund,10000000,World Small/Mid Stock,Scott M. Colbert
Green California Tax-Free Income Fund,10000000,Diversified Emerging Mkts,William C. Mock
SEI Catholic Values Trust Catholic Values Fixed Income Fund Class F,10000000,Multisector Bond,William A. O'Malley
Aquila Churchill Tax Free Fund of Kentucky Class C,10000000,Muni National Short,Royden A. Durham
Aquila Churchill Tax Free Fund of Kentucky Class Y,10000000,Ultrashort Bond,Royden A. Durham
Invesco Charter Fund Class C,10000000,Large Blend,Manind Govil
Invesco Charter Fund Class A,10000000,Real Estate,Manind Govil
BNY Mellon Sustainable U.S. Equity Fund Class Z,10000000,Foreign Large Growth,Jeff Munroe
Eaton Vance Short Duration Municipal Opportunities Fund Class C,10000000,Allocation--30% to 50% Equity,Adam A. Weigold
Fidelity Advisor Mortgage Securities Fund Class Z,10000000,Nontraditional Bond,Franco Castagliuolo
Frost Low Duration Bond Fund Class Institutional,10000000,Emerging Markets Bond,Jeffery Elswick
Franklin International Growth Fund Class R6,10000000,Intermediate Core-Plus Bond,Donald G. Huber
Fidelity Minnesota Municipal Income Fund,10000000,Emerging Markets Bond,Elizah McLaughlin
Fidelity Municipal Income 2025 Fund,10000000,Bank Loan,Elizah McLaughlin
Federated Hermes Intermediate Municipal Fund Institutional Shares,10000000,World Bond-USD Hedged,J. Scott Albrecht
Fidelity Advisor Asset Manager 70% Fund Class Z,10000000,Ultrashort Bond,Geoffrey D. Stein
Fidelity Advisor Total Emerging Markets Fund Class Z,10000000,Short-Term Bond,Xiaoting Zhao
Fidelity Advisor Convertible Securities Fund Class Z,10000000,Large Value,Adam Kramer
Columbia Capital Allocation Moderate Portfolio Class A,10000000,World Small/Mid Stock,Anwiti Bahuguna
American Beacon ARK Transformational Innovation Fund Class A,10000000,Large Value,Catherine D. Wood
ACM Dynamic Opportunity Fund Class A,10000000,Small Blend,Alan Savoian
American Century Equity Income Fund G Class,10000000,Diversified Emerging Mkts,Phillip Davidson
American Century Emerging Markets Fund A Class,10000000,Ultrashort Bond,Patricia Ribeiro
American Century Equity Growth Fund R Class,10000000,Large Blend,Steven Rossi
American Century Focused International Growth Fund G Class,10000000,Intermediate Core Bond,Jim Zhao
American Century Focused International Growth Fund I Class,10000000,Intermediate Core-Plus Bond,Jim Zhao
Invesco Floating Rate ESG Fund Class R,10000000,Multisector Bond,Thomas Ewald
American Century Global Small Cap Fund C Class,10000000,Infrastructure,Trevor D. Gurwich
American Funds Intermediate Bond Fund of America Class A,10000000,Foreign Large Blend,Fergus N. MacDonald
Cavanal Hill Mid Cap Diverse Leadership Fund Institutional Shares,10000000,World Large-Stock Blend,Thomas W. Verdel
American Century Investments Focused Large Cap Value Fund A Class,10000000,World Bond,Kevin N. Toney
American Funds The Income Fund of America Class F-2,10000000,Allocation--30% to 50% Equity,Dina N. Perry
American Century NT International Value Fund Investor Class,10000000,Global Real Estate,Yulin Long
Artisan Global Value Fund Advisor Class,10000000,Short-Term Bond,Daniel J. O'Keefe
Horizon Active Risk Assist Fund Class A,10000000,Large Blend,Michael Dickson
American Century Investments One Choice 2030 Portfolio A Class,10000000,Foreign Large Blend,Radu Gabudean
American Century Investments One Choice 2050 Portfolio R Class,10000000,Nontraditional Bond,Radu Gabudean
American Century Investments One Choice 2065 Portfolio C Class,10000000,Diversified Emerging Mkts,John Donner
BMO Ultra Short Tax-Free Fund Class A,10000000,Real Estate,Thomas W. Byron
BlackRock GNMA Portfolio Class K,10000000,Small Blend,Matthew Kraeger
iShares Municipal Bond Index Fund Class K,10000000,Nontraditional Bond,Karen Uyehara
