fund_long_name,initial_investment,fund_category,management_name
DoubleLine Low Duration Emerging Markets Fixed Income Fund Class I,100000,Emerging Markets Bond,Mark W. Christensen
DoubleLine Low Duration Bond Fund Class I,100000,Ultrashort Bond,Robert L. Cohen
DoubleLine Total Return Bond Fund Class I,100000,Intermediate Core-Plus Bond,Jeffrey Gundlach
DoubleLine Multi-Asset Trend Fund Class I,100000,Systematic Trend,Jeffrey J. Sherman
DoubleLine Colony Real Estate and Income Fund Class I,100000,Real Estate,Jeffrey J. Sherman
Doubleline Selective Credit Fund Class I,100000,Multisector Bond,Jeffrey Gundlach
DoubleLine Ultra Short Bond Fund Class I,100000,Ultrashort Bond,Monica Erickson
DoubleLine Flexible Income Fund Class I,100000,Nontraditional Bond,Jeffrey J. Sherman
Destra Granahan Small Cap Advantage Fund Class I,100000,Small Growth,Gary L. Hatton
DGHM MicroCap Value Fund Institutional Class,100000,Small Blend,Douglas A. Chudy
DoubleLine Multi-Asset Growth Fund Class I,100000,Tactical Allocation,Jeffrey J. Sherman
Dunham Long/Short Credit Fund Class N,100000,Nontraditional Bond,Andrew J. Kronschnabel
Dunham Dynamic Macro Fund Class N,100000,Macro Trading,Torrey K. Zaches
Dunham Corporate/Government Bond Fund Class N,100000,Intermediate Core-Plus Bond,David L. Albrycht
Dunham Small Cap Growth Fund Class N,100000,Small Growth,Alexander Yakirevich
Dunham Emerging Markets Stock Fund Class N,100000,Diversified Emerging Mkts,Brian P. Coffey
Dunham Focused Large Cap Growth Fund Class N,100000,Large Growth,Scott L. O'Gorman
Dunham Floating Rate Bond Fund Class N,100000,Bank Loan,Francesco A. Ossino
Dunham High-Yield Bond Fund Class N,100000,High Yield Bond,John Yovanovic
Dunham International Stock Fund Class N,100000,Foreign Large Blend,Peter Rathjens
Dunham International Opportunity Bond Fund Class N,100000,World Bond,William Perry
Dunham Large Cap Value Fund Class N,100000,Large Value,Paul Roukis
Dunham Monthly Distribution Fund Class N,100000,Event Driven,Sam E. Klar
Dunham Real Estate Stock Fund Class N,100000,Real Estate,Burland B. East
Dunham Small Cap Value Fund Class N,100000,Small Value,John S. Albert
Deer Park Total Return Credit Fund Class I,100000,High Yield Bond,Michael Craig-Scheckman
Destra Flaherty & Crumrine Preferred and Income Fund Class I,100000,Preferred Stock,R. Eric Chadwick
Foundry Partners Fundamental Small Cap Value Fund Institutional Class,100000,Small Value,Mark Roach
BNY Mellon Ultra Short Income Fund Class D,100000,Ultrashort Bond,Edward J. Von Sauers
DoubleLine Shiller Enhanced CAPE Class I,100000,Large Blend,Jeffrey J. Sherman
BNY Mellon Short Term Income Fund Class P,100000,Short-Term Bond,Nathaniel R. Hyde
Cohen & Steers Alternative Income Fund Class Institutional,100000,World Allocation,Jon Y. Cheigh
Campbell Systematic Macro Fund Class I Shares,100000,Macro Trading,Kevin Cole
Edgewood Growth Fund Class Institutional,100000,Large Growth,Alexander M. Farman-Farmaian
Eagle MLP Strategy Fund Class I Shares,100000,Energy Limited Partnership,Steven S. Russo
EIC Value Fund Institutional Class,100000,Large Value,Ian T. Zabor
CBOE Vest S&P 500 Enhanced Growth Strategy Fund Institutional Class Shares,100000,Derivative Income,Howard Rubin
SEI Institutional Investments Trust Opportunistic Income Fund A,100000,Multisector Bond,Timothy Smith
Equable Shares Hedged Equity Fund Class I,100000,Options Trading,Ronald A. Santella
Dana Epiphany ESG Equity Fund Institutional Class Shares,100000,Large Blend,Sean McLeod
Gabelli ESG Fund Class I,100000,Large Blend,Christopher V. Marangi
Mirova Global Sustainable Equity Fund Class Y,100000,,Amber Fairbanks
Eventide Limited-Term Bond Fund Class I,100000,Short-Term Bond,David M. Dirk
Eventide Dividend Opportunities Fund Class I Shares,100000,Mid-Cap Blend,Dolores Bamford
Eventide Exponential Technologies Fund Class I Share,100000,Technology,Anant Goel
Eventide Healthcare & Life Sciences Fund CLASS I SHARES,100000,Health,Finny Kuruvilla
Eventide Gilead Class I,100000,Mid-Cap Growth,Finny Kuruvilla
Eventide Multi-Asset Income Fund Class I,100000,Allocation--50% to 70% Equity,David M. Dirk
Eventide Core Bond Fund Class I Shares,100000,Intermediate Core Bond,David M. Dirk
American Century Strategic Allocation: Aggressive Fund I Class,100000,Muni National Long,Scott A. Wilson
DWS RREEF Real Assets Fund - Class C,100000,Multistrategy,John Vojticek
Cavanal Hill Opportunistic Fund Class C,100000,Muni National Long,Brandon R. Barnes
American Funds 2030 Target Date Retirement Fund Class A,100000,Muni Minnesota,Wesley K.-S. Phoa
Absolute Capital Asset Allocator Fund Class A,100000,Large Value,Phillip Brenden Gebben
Absolute Capital Asset Allocator Fund Investor Class,100000,Real Estate,Phillip Brenden Gebben
American Beacon The London Company Income Equity Fund Investor Class,100000,Ultrashort Bond,Stephen Goddard
AMG River Road Mid Cap Value Fund - Class Z,100000,Muni Single State Long,R. Andrew W. Beck
AB Bond Inflation Strategy Class R,100000,Intermediate Core-Plus Bond,Janaki Rao
AB Total Return Bond Portfolio Class C,100000,Allocation--50% to 70% Equity,Shawn E. Keegan
AB Value Fund Class R,100000,Mid-Cap Value,Cem Inal
American Century Core Plus Fund Class A,100000,Muni California Long,Robert Gahagan
Access Capital Community Investment Fund Institutional Class,100000,Allocation--85%+ Equity,Brian Svendahl
Invesco Exchange Fund,100000,Multisector Bond,Glen E. Murphy
American Century Mid Cap Value Fund A Class,100000,Large Growth,Brian Woglom
American Century Zero Coupon 2025 Fund Advisor Class,100000,Muni Single State Long,Robert Gahagan
American Century International Value Fund R6 Class,100000,Muni Single State Long,Yulin Long
American Century International Value Fund R Class,100000,Muni Single State Long,Yulin Long
American Century Disciplined Growth Fund Class C,100000,Convertibles,Tsuyoshi Ozaki
AB Core Opportunities Fund Class C,100000,Muni Single State Long,Vinay V. Thapar
American Beacon ARK Transformational Innovation Fund R5 Class,100000,Bank Loan,Catherine D. Wood
Applied Finance Explorer Fund Investor Shares,100000,Large Growth,Paul Blinn
Invesco Floating Rate ESG Fund Class R5,100000,Large Value,Thomas Ewald
American Century Global Bond Fund C Class,100000,Emerging-Markets Local-Currency Bond,John A. Lovito
AB Tax-Managed All Market Income Portfolio Advisor Class,100000,World Allocation,Morgan C. Harting
American Funds International Vantage Fund Class F-1,100000,Equity Precious Metals,Gregory Fuss
AB International Value Fund Class I,100000,Muni Single State Long,Avi Lavi
Aberdeen Emerging Markets Debt Fund Institutional Class,100000,Muni National Long,Brett Diment
Virtus AllianzGI International Small-Cap Fund Institutional Class,100000,Infrastructure,Andrew Neville
AAMA Income Fund,100000,Allocation--70% to 85% Equity,Robert D. Baker
Artisan Focus Fund Advisor Shares,100000,High Yield Muni,Christopher P. Smith
Artisan Global Value Fund Institutional Class,100000,Nontraditional Bond,Daniel J. O'Keefe
American Century Investments One Choice 2065 Portfolio R6 Class,100000,Small Growth,John Donner
Artisan International Value Fund Investor Class,100000,Mid-Cap Growth,N. David Samra
American Century Short Duration Strategic Income Fund A Class,100000,Muni National Interm,Jeffrey Houston
Invesco Summit Fund Class A,100000,High Yield Bond,Erik Voss
American Beacon Small Cap Value Fund C Class,100000,Nontraditional Bond,Judd S. Peters
American Century Strategic Income Fund Y Class,100000,Multisector Bond,Jeffrey Houston
AB Select US Long/Short Portfolio Advisor Class,100000,Foreign Small/Mid Blend,Kurt Feuerman
Invesco Limited Term Municipal Income Fund Class C,100000,Muni Single State Long,James Phillips
Aquila Three Peaks High Income Fund Class Y,100000,Short-Term Bond,Sandy Rufenacht
AB Equity Income Fund Class C,100000,Bank Loan,Cem Inal
American Century Ultra Fund R6 Class,100000,Target-Date Retirement,Jeffrey Bourke
American Century Ultra Fund G Class,100000,Target-Date 2025,Jeffrey Bourke
American Century Ultra Fund Y Class,100000,Target-Date 2035,Jeffrey Bourke
AB Municipal Bond Inflation Strategy Class 1,100000,Target-Date 2045,Andrew D. Potter
AB Municipal Bond Inflation Strategy Advisor Class,100000,Target-Date 2020,Andrew D. Potter
Auxier Focus Fund Class Investor,100000,Large Blend,J. Jeffrey Auxier
Auxier Focus Fund Institutional,100000,Target-Date 2030,J. Jeffrey Auxier
AB Municipal Income Fund II Virginia Portfolio Advisor Class,100000,Target-Date 2040,Terrance T. Hults
Ave Maria Focused Fund,100000,Target-Date 2050,Chadd M. Garcia
Avantis Core Municipal Fixed Income Fund G Class,100000,Target-Date 2055,Daniel C. Ong
Avantis Short-Term Fixed Income Fund G Class,100000,Muni National Short,Daniel C. Ong
Avantis U.S. Small Cap Value Fund Institutional Class,100000,Muni Massachusetts,Daniel C. Ong
Invesco Global Core Equity Fund Class R6,100000,Muni Single State Long,Michael Hatcher
Virtus AllianzGI High Yield Bond Fund Class P,100000,Infrastructure,David J. Oberto
American Century High-Yield Municipal Fund Y Class,100000,Foreign Large Blend,Alan M. Kruss
Virtus NFJ Emerging Markets Value Fund Class A,100000,Large Blend,J. Garth Reilly
Virtus NFJ Emerging Markets Value Fund Class P,100000,Mid-Cap Blend,J. Garth Reilly
Virtus AllianzGI Income & Growth Fund Class A,100000,Foreign Large Blend,Douglas G. Forsyth
American Beacon Zebra Small Cap Equity Fund Investor Class,100000,Muni Single State Long,Roger Ibbotson
BMO Growth Allocation Fund Class I,100000,Muni Minnesota,Jon D. Adams
Brown Advisory Intermediate Income Advisor Shares,100000,Muni Single State Long,Jason T. Vlosich
Brown Advisory Sustainable Bond Fund Institutional Shares,100000,Allocation--50% to 70% Equity,Thomas D. D. Graff
BMO Core Plus Bond Fund Class A,100000,Muni Single State Long,Frank J. Reda
Bridge Builder Core Plus Bond Fund,100000,Foreign Large Growth,Bryan T. Whalen
BBH Intermediate Municipal Bond Fund Class I,100000,Muni New Jersey,Gregory S. Steier
Sterling Capital North Carolina Intermediate Tax-Free Fund C Shares,100000,Muni Single State Long,Robert F. Millikan
Bridge Builder Core Bond Fund,100000,Natural Resources,Lynne J. Royer
BlackRock 20/80 Target Allocation Fund Investor C Shares,100000,Muni Single State Long,Lisa O'Connor
Sterling Capital Equity Income Fund Class C,100000,Muni New York Long,Charles (Chip) J. Wittmann
BlackRock Multi-Asset Income Portfolio Investor C Shares,100000,Muni New York Intermediate,Alex Shingler
Baird Core Plus Bond Fund Class Institutional,100000,Muni Single State Long,Jeffrey Schrom
Baird Core Plus Bond Fund Class Investor,100000,Mid-Cap Growth,Jeffrey Schrom
BlackRock CoreAlpha Bond Fund Class K,100000,,Jeffrey Rosenberg
Baron Discovery Fund Institutional Shares,100000,Muni Single State Interm,Laird Bieger
BMO Conservative Allocation Fund Class I,100000,Nontraditional Bond,Jon D. Adams
BMO Conservative Allocation Fund Class R3,100000,Muni Pennsylvania,Jon D. Adams
BlackRock Floating Rate Income Portfolio Investor A Shares,100000,Large Growth,James S. Keenan
Baillie Gifford Global Alpha Equities Fund Class 2,100000,Muni California Intermediate,Spencer Adair
Baillie Gifford Multi Asset Fund Institutional Class,100000,Large Blend,James Squires
William Blair Growth Fund Class R6,100000,Allocation--30% to 50% Equity,David C. Fording
BlackRock Global Impact Fund Class K,100000,Muni Single State Long,Eric M. Rice
BMO Global Low Volatility Equity Fund Class I,100000,Real Estate,David Rosenblatt
Baillie Gifford Developed EAFE All Cap Fund Class 2,100000,Muni Single State Long,Gerard M. Callahan
BMO Balanced Allocation Fund Class R3,100000,Muni Ohio,Jon D. Adams
Soundwatch Hedged Equity Fund Institutional Class,100000,Utilities,Robert Hammer
BlackRock High Yield Bond Portfolio Service Shares,100000,Muni Single State Long,Mitchell Garfin
Sterling Capital Total Return Bond Fund Class C,100000,Small Value,Mark M. Montgomery
BlackRock U.S. Government Bond Portfolio Investor C Shares,100000,Mid-Cap Value,Matthew Kraeger
BlackRock Systematic ESG Bond Fund Institutional,100000,Mid-Cap Growth,Scott Radell
BlackRock Systematic Multi-Strategy Fund Institutional Shares,100000,Short Government,Jeffrey Rosenberg
Baron Opportunity Fund Institutional Class,100000,Muni National Short,Michael Lippert
BlackRock 40/60 Target Allocation Fund Class K,100000,Intermediate Core-Plus Bond,Lisa O'Connor
ProFunds Banks UltraSector Fund Investor Class,100000,Diversified Emerging Mkts,Michael Neches
BlackRock Advantage Emerging Markets Fund Investor C Shares,100000,Small Growth,David Piazza
Baird MidCap Fund Investor Class,100000,Small Value,Charles F. Severson
BlackRock Income Fund Class K Shares,100000,Allocation--30% to 50% Equity,Mitchell Garfin
MFS Blended Research Mid Cap Equity Fund R2,100000,Health,Jonathan W. Sage
BlackRock National Municipal Fund Service Share,100000,Muni National Short,Walter O'Connor
BNY Mellon Small Cap Value Fund Class C,100000,Long-Short Equity,Nicholas K. Cohn
Boston Partners All Cap Value Fund Institutional Class,100000,Small Blend,Duilio R. Ramallo
BlackRock Inflation Protected Bond Fund Service Shares,100000,Muni Single State Long,Christopher Allen
Bright Rock Quality Large Cap Fund Institutional Class,100000,Small Blend,Douglas S. Butler
BlackRock Allocation Target Shares Series C Portfolio,100000,Muni Single State Long,Stephan Bassas
iShares Russell 1000 Large-Cap Index Fund Institutional Shares,100000,Mid-Cap Blend,Jennifer Hsui
MFS Blended Research Emerging Markets Equity Fund Class R3,100000,Mid-Cap Value,Jonathan W. Sage
iShares Russell Mid-Cap Index Fund Institutional Shares,100000,Small Growth,Alan Mason
BlackRock Advantage International Fund K,100000,Large Blend,Kevin Franklin
MFS Blended Research Value Equity Fund Class R2,100000,Intermediate Government,Jonathan W. Sage
AMG Boston Common Global Impact Fund - Class I,100000,Small Value,Matthew Zalosh
MFS Blended Research Growth Equity Fund Class R4,100000,Muni California Long,Jonathan W. Sage
MFS Blended Research International Equity Fund Class R3,100000,High Yield Bond,Jonathan W. Sage
BlackRock SMID-Cap Growth Equity Fund Class K,100000,Small Value,Phil Ruvinsky
iShares Russell Small/Mid-Cap Index Fund Class K,100000,Muni Single State Long,Alan Mason
Salient Tactical Plus Fund Class F,100000,Muni Minnesota,Christopher J. Guptill
Barings Emerging Markets Debt Blended Total Return Fund Class A,100000,Multistrategy,Natalia Krol
Cornerstone Advisors Core Plus Bond Fund Institutional Shares,100000,Long-Short Equity,Bryan T. Whalen
American Funds Strategic Bond Fund Class 529-A,100000,Small Growth,Ritchie A. Tuazon
American Funds Global Balanced Fund Class 529-E,100000,Options Trading,David M. Riley
American Funds Intermediate Bond Fund of America Class 529-F,100000,World Large-Stock Blend,Fergus N. MacDonald
American Beacon Continuous Capital Emerging Markets Fund Y Class,100000,Mid-Cap Blend,Morley D. Campbell
Principal High Yield Fund Class C,100000,Large Value,Joshua P. Rank
American Funds The Bond Fund of America Class 529-A,100000,Intermediate Core Bond,David Hoag
Cushing Global Clean Equity Fund Class A Shares,100000,Large Blend,Jerry V. Swank
Calamos Global Opportunities Fund Class I,100000,Large Growth,John Calamos
Columbia Global Technology Growth Fund Institutional 3 Class,100000,Intermediate Core-Plus Bond,Rahul Narang
Chase Growth Fund Class N Shares,100000,Large Blend,Peter W. Tuz
Cullen High Dividend Equity Fund Class R1,100000,Large Value,Jennifer P. Chang
Invesco Charter Fund Class A,100000,Small Blend,Manind Govil
AMG River Road Mid Cap Value Fund - Class N,100000,Small Blend,R. Andrew W. Beck
Clough Global Long/Short Fund Class A,100000,Equity Market Neutral,Charles Clough
AdvisorOne CLS Shelter Fund Class N,100000,Macro Trading,Michael Hadden
Columbia Global Technology Growth Fund Institutional Class,100000,Natural Resources,Rahul Narang
American Century Government Bond Fund Investor Class,100000,Trading--Inverse Equity,Peter Van Gelderen
Columbia Small Cap Value Fund II Institutional 2 Class,100000,Tactical Allocation,Christian K. Stadlinger
Calvert Equity Fund Class C,100000,Options Trading,Joseph B. Hudepohl
Carillon Scout Mid Cap Fund Class R-6,100000,Long-Short Equity,G. Patrick Dunkerley
American Funds College 2030 Fund Class 529-A,100000,Small Growth,Wesley K.-S. Phoa
